trading_pair,date,open,high,low,close,volume
DOGE-USD,8/20/2020 19:00:00,None,None,None,None,None
DOGE-USD,8/19/2020 19:00:00,None,None,None,None,None
DOGE-USD,8/18/2020 19:00:00,None,None,None,None,None
DOGE-USD,8/17/2020 19:00:00,None,None,None,None,None
DOGE-USD,8/16/2020 19:00:00,None,None,None,None,None
DOGE-USD,8/15/2020 19:00:00,None,None,None,None,None
DOGE-USD,8/14/2020 19:00:00,None,None,None,None,None
DOGE-USD,8/13/2020 19:00:00,None,None,None,None,None
DOGE-USD,8/12/2020 19:00:00,None,None,None,None,None
DOGE-USD,8/11/2020 19:00:00,None,None,None,None,None
DOGE-USD,8/10/2020 19:00:00,None,None,None,None,None
DOGE-USD,8/9/2020 19:00:00,None,None,None,None,None
DOGE-USD,8/8/2020 19:00:00,None,None,None,None,None
DOGE-USD,8/7/2020 19:00:00,None,None,None,None,None
DOGE-USD,8/6/2020 19:00:00,None,None,None,None,None
DOGE-USD,8/5/2020 19:00:00,None,None,None,None,None
DOGE-USD,8/4/2020 19:00:00,None,None,None,None,None
DOGE-USD,8/3/2020 19:00:00,None,None,None,None,None
DOGE-USD,8/2/2020 19:00:00,None,None,None,None,None
DOGE-USD,8/1/2020 19:00:00,None,None,None,None,None
DOGE-USD,7/31/2020 19:00:00,None,None,None,None,None
DOGE-USD,7/30/2020 19:00:00,None,None,None,None,None
DOGE-USD,7/29/2020 19:00:00,None,None,None,None,None
DOGE-USD,7/28/2020 19:00:00,None,None,None,None,None
DOGE-USD,7/27/2020 19:00:00,None,None,None,None,None
DOGE-USD,7/26/2020 19:00:00,None,None,None,None,None
DOGE-USD,7/25/2020 19:00:00,None,None,None,None,None
DOGE-USD,7/24/2020 19:00:00,None,None,None,None,None
DOGE-USD,7/23/2020 19:00:00,None,None,None,None,None
DOGE-USD,7/22/2020 19:00:00,None,None,None,None,None
DOGE-USD,7/21/2020 19:00:00,None,None,None,None,None
DOGE-USD,7/20/2020 19:00:00,None,None,None,None,None
DOGE-USD,7/19/2020 19:00:00,None,None,None,None,None
DOGE-USD,7/18/2020 19:00:00,None,None,None,None,None
DOGE-USD,7/17/2020 19:00:00,None,None,None,None,None
DOGE-USD,7/16/2020 19:00:00,None,None,None,None,None
DOGE-USD,7/15/2020 19:00:00,None,None,None,None,None
DOGE-USD,7/14/2020 19:00:00,None,None,None,None,None
DOGE-USD,7/13/2020 19:00:00,None,None,None,None,None
DOGE-USD,7/12/2020 19:00:00,None,None,None,None,None
DOGE-USD,7/11/2020 19:00:00,None,None,None,None,None
DOGE-USD,7/10/2020 19:00:00,None,None,None,None,None
DOGE-USD,7/9/2020 19:00:00,None,None,None,None,None
